user,date,text,location,coordinates
Investingcom,Sun Jul 17 13:00:02 +0000 2022,"🇺🇸EARNINGS THIS WEEK:

-TESLA
-TWITTER
-NETFLIX
-SNAP
-IBM
-BANK OF AMERICA
-GOLDMAN SACHS
-AMERICAN EXPRESS
-JOHNS… https://t.co/766BjCrYra",Global,
Gizmodo,Tue Jul 19 16:18:06 +0000 2022,Lost Luggage on Airlines Has Exploded by 30% This Year https://t.co/s0P8bM54CK https://t.co/g7AzovpTv2,,
FoxNews,Mon Jul 11 02:31:14 +0000 2022,TO THE RESCUE!: Six-year-old Lena was so upset she didn't have a tooth to put under her pillow. That's when Captain… https://t.co/OHBzemuDXB,U.S.A.,
Ma77Austin,Tue Jul 19 17:19:12 +0000 2022,"RT @OnDisasters: #OTD in 1989: United Airlines Flight 232, a DC-10, crash lands in Sioux (US): 111 of 296 aboard die. Jet lost flight contr…",,
NcOnukogu,Tue Jul 19 17:16:30 +0000 2022,"Next year, to fly domestic or international, you must have  ""Real ID"" compliant documents to board flights in the U… https://t.co/YzIJT8xFVD",,
laxradar,Tue Jul 19 17:16:14 +0000 2022,"United Airlines flight #UAL573 spotted at 17,800 feet! https://t.co/9PmfnrlefZ","Los Angeles, CA",
fvo69622073,Tue Jul 19 17:13:33 +0000 2022,"RT @OnDisasters: #OTD in 1989: United Airlines Flight 232, a DC-10, crash lands in Sioux (US): 111 of 296 aboard die. Jet lost flight contr…",,
AeroCocktail,Tue Jul 19 17:12:34 +0000 2022,"RT @AirCrash_: 🗓 | #𝗢𝗧𝗗 𝗶𝗻 𝟭𝟵𝟴𝟵: The tail-mounted engine of United Airlines Flight 232 (McDonnell Douglas DC-10-10) explodes, causing a tot…",California,
angelwolf71885,Tue Jul 19 17:11:06 +0000 2022,RT @Gizmodo: Lost Luggage on Airlines Has Exploded by 30% This Year https://t.co/s0P8bM54CK https://t.co/g7AzovpTv2,Florida USA,
ChinaksOfLagos,Tue Jul 19 17:10:49 +0000 2022,"RT @ChinaksOfLagos: STORY THREAD.

N:B it's going to be a long read but worth it.

It happened at a New York Airport 😂 and it’s hilarious.…",check my tweet👇🏽,
laxradar,Tue Jul 19 17:08:49 +0000 2022,"United Airlines flight #UAL1006 spotted at 24,000 feet! https://t.co/hROW27nuhw","Los Angeles, CA",
jdilladaddy3,Tue Jul 19 17:08:46 +0000 2022,RT @Gizmodo: Lost Luggage on Airlines Has Exploded by 30% This Year https://t.co/s0P8bM54CK https://t.co/g7AzovpTv2,Milpitas CA,
SmartfulTravel,Tue Jul 19 17:07:32 +0000 2022,"I have my REAL ID. Do you? 
You'll need Real ID in less than a year: LAX will be the first airport to host an appli… https://t.co/gyENzYxNy2",,
avsec_pro,Tue Jul 19 17:07:23 +0000 2022,A Hawaiian Airlines passenger who was kicked off a plane after boarding Seattle Tacoma International Airport United… https://t.co/VQVFffGthV,,
JayReding,Tue Jul 19 17:05:25 +0000 2022,"RT @AirCrash_: 🗓 | #𝗢𝗧𝗗 𝗶𝗻 𝟭𝟵𝟴𝟵: The tail-mounted engine of United Airlines Flight 232 (McDonnell Douglas DC-10-10) explodes, causing a tot…","Minneapolis, MN",
EduardoArroyo,Tue Jul 19 17:05:10 +0000 2022,Leadership Shakeup At United Airlines https://t.co/pNsS9ECfwU,Puerto Rico,
BagYeetingHorse,Tue Jul 19 17:04:24 +0000 2022,"RT @aircrashdaily: #OTD in 1989: United Airlines 232 crash in Sioux City, IA (USA) https://t.co/UtpN7MNO6n https://t.co/7Q7xAW8s5n","Columbus, OH",
CalDisasters,Tue Jul 19 17:03:19 +0000 2022,"RT @aircrashdaily: #OTD in 1989: United Airlines 232 crash in Sioux City, IA (USA) https://t.co/UtpN7MNO6n https://t.co/7Q7xAW8s5n","Atascadero, CA",
