user,date,text,location,coordinates
MorePerfectUS,Tue Oct 25 18:19:04 +0000 2022,"The average airfare is now nearly $400, up 11% since 2019. As a result, United Airlines earned ~$1B in profit last… https://t.co/kP2O9nSo1B",,
GovUganda,Sun Oct 23 20:54:09 +0000 2022,We are working together with the United Arab Emirates to repatriate stranded Ugandan migrant workers; and yesterday… https://t.co/CMfAYKcwdq,"Kampala, Uganda",
CNBC,Sun Oct 23 11:23:39 +0000 2022,United Airlines is aiming to have electric planes flying by 2030. https://t.co/3k0I868VdD,"Englewood Cliffs, NJ",
Z45989363,Sat Oct 29 18:07:32 +0000 2022,@DjsAviation United airlines https://t.co/Nys8dQyoDx,"Arizona, USA",
laxradar,Sat Oct 29 18:06:47 +0000 2022,"United Airlines flight #UAL1800 spotted at 6,900 feet! https://t.co/BnnrQSR7ij","Los Angeles, CA",
spacecardealers,Sat Oct 29 18:06:07 +0000 2022,"United Airlines Wants People Who Drive to Fly on Electric Planes Instead https://t.co/47GbY1zZDt  Tesla's planes,
Blimps..",,
cdplus50,Sat Oct 29 18:03:37 +0000 2022,@united you suck. First you make me check and pay for a backpack. Now you say it will be one hour to get it from@ba… https://t.co/vs2aYch1vC,,
laxradar,Sat Oct 29 18:02:59 +0000 2022,"United Airlines flight #UAL2387 spotted at 16,125 feet! https://t.co/3w6aQuEtEv","Los Angeles, CA",
laxradar,Sat Oct 29 17:53:50 +0000 2022,"United Airlines flight #UAL2335 spotted at 14,025 feet! https://t.co/Zbo8C95uUm","Los Angeles, CA",
OverMeon,Sat Oct 29 17:52:42 +0000 2022,#UAL262 N35953 787 9 United Airlines DEN-LHR Denver International Airport to Heathrow Airport: 13.7 mi away @ 19825… https://t.co/uQxaUKUeDQ,"Lower Quinton, England",
laxradar,Sat Oct 29 17:51:36 +0000 2022,"United Airlines flight #UAL229 spotted at 22,150 feet! https://t.co/0FC1lYS6ME","Los Angeles, CA",
laxradar,Sat Oct 29 17:51:13 +0000 2022,"United Airlines flight #UAL1737 spotted at 2,050 feet! https://t.co/ZQRZ1uGNYm","Los Angeles, CA",
MarionDonnell15,Sat Oct 29 17:49:36 +0000 2022,RT @IronSharky: Just had a wonderful customer service interaction with United Airlines. These good experiences should always be pointed out.,Utah,
laxradar,Sat Oct 29 17:46:36 +0000 2022,"United Airlines flight #UAL330 spotted at 1,950 feet! https://t.co/6w4lgOskAA","Los Angeles, CA",
laxradar,Sat Oct 29 17:40:21 +0000 2022,"United Airlines flight #UAL2271 spotted at 3,675 feet! https://t.co/YMThaqBf9n","Los Angeles, CA",
laxradar,Sat Oct 29 17:40:05 +0000 2022,"United Airlines flight #UAL1147 spotted at 16,000 feet! https://t.co/gDqCkoKelC","Los Angeles, CA",
DaveFoster86,Sat Oct 29 17:39:09 +0000 2022,"United Airlines - BIL is happy to support Rocky Mountain College Enactus, and Care Camps by donating a dunk tank fo… https://t.co/rc2NuoueA5","Billings, MT",
PeLopez1,Sat Oct 29 17:38:22 +0000 2022,RT @polinarharry653: T‑Mobile Expands In‑flight Coverage to United Airlines https://t.co/hJKPQVGnli via @TMobile,,
alojapan,Sat Oct 29 17:38:04 +0000 2022,"Flying economy class Philippine ...
 
https://t.co/d1qU9o6Hyv
 
#JapanDestinations #JapanTour #JapanTravel… https://t.co/G9UmDfspph",,
LaloMEXSS,Sat Oct 29 17:37:51 +0000 2022,One thing Wall Street didn't bet on: our operations were the best of any Q3 in our history. https://t.co/PRZ5ZwE7Qg,"Monterrey, Nuevo León",
laxradar,Sat Oct 29 17:31:41 +0000 2022,"United Airlines flight #UAL1670 spotted at 18,125 feet! https://t.co/0rkw2oLH20","Los Angeles, CA",
above_monroe,Sat Oct 29 17:30:13 +0000 2022,"🇺🇸 UNITED #UAL2426 [N37409 - A44521]: 3.7mi away [61° elevation] @ 35000ft, heading NE @ 539mph [United Airlines -… https://t.co/ngHOgo9F8F","New Jersey, USA",
laxradar,Sat Oct 29 17:29:07 +0000 2022,United Airlines flight #UAL752 spotted at 700 feet! https://t.co/WHsm2VsikQ,"Los Angeles, CA",
laxradar,Sat Oct 29 17:27:13 +0000 2022,"United Airlines flight #UAL1679 spotted at 33,000 feet! https://t.co/3ShgkCvKro","Los Angeles, CA",
above_monroe,Sat Oct 29 17:24:21 +0000 2022,"🇺🇸 UNITED #UAL2673 [N459UA - A5954E]: 0.9mi away [58° elevation] @ 7525ft▲, heading NE @ 266mph [United Airlines -… https://t.co/dhqp1PBsMN","New Jersey, USA",
azairashna,Sat Oct 29 17:20:37 +0000 2022,Ariana Afghan Airlines resumed its flights to Al Ain City of the United Arab Emirates after seven years of suspensi… https://t.co/PCipKf8YkO,Afghanistan,
laxradar,Sat Oct 29 17:18:46 +0000 2022,United Airlines flight #UAL319 spotted at 225 feet! https://t.co/Mw8tgAD2q3,"Los Angeles, CA",
laxradar,Sat Oct 29 17:14:26 +0000 2022,"United Airlines flight #UAL2090 spotted at 24,800 feet! https://t.co/bYCRP3WlQY","Los Angeles, CA",
centralspotter,Sat Oct 29 17:11:32 +0000 2022,"👀✈️🔊
N2737U 
#UAL927 
#United Airlines 
#United States
#Boeing 777 300ER 
#United Airlines
#A2B501
Alt 32000ft… https://t.co/ATbk1Qm4dw","Scotland, United Kingdom",
laxradar,Sat Oct 29 17:10:50 +0000 2022,"United Airlines flight #UAL2664 spotted at 33,000 feet! https://t.co/KQtte8voj9","Los Angeles, CA",
