user,date,text,location,coordinates
flightradar24,Tue Sep 20 16:59:49 +0000 2022,United Airlines flight #UA927 (FRA-SFO) is holding over the North Sea. The flight is expected to divert to London H… https://t.co/d02X0RRDtT,"Stockholm, Sweden",
WSJ,Tue Sep 20 20:30:07 +0000 2022,United Airlines canceled some flights Monday night and Tuesday to perform inspections on the wing slats of some of… https://t.co/BwPTnsDiut,"New York, NY",
UnitedPilots,Wed Sep 14 17:59:41 +0000 2022,Breaking: @UnitedPilots @afa_cwa @PAFCAUAL @MachinistsUnion @Teamsters statement on @United new codeshare agreement… https://t.co/VOl1AgkS2L,"Rosemont, IL",
SilverKittyzoom,Wed Sep 21 00:50:23 +0000 2022,"RT @sampson_dog: I’m a Service Dog! Yay @united (United Airlines) for a flawless check in with a service dog, unlike some past experiences…","California, USA",
HewanTigraweti,Wed Sep 21 00:49:19 +0000 2022,"RT @MeAza_MeAza: Can you add your signature? ✍️
https://t.co/3IQ9hGtsAq",,
laxradar,Wed Sep 21 00:47:57 +0000 2022,"United Airlines flight #UAL2095 spotted at 23,700 feet! https://t.co/peNwpT0tQF","Los Angeles, CA",
ls1228,Wed Sep 21 00:46:58 +0000 2022,RT @JoeyRamp: The way it should be done! Flawless service dog travel with United Airlines! @united,"Irvine, CA",
abovestockport,Wed Sep 21 00:46:18 +0000 2022,"EXS49MY   Thomas Cook Airlines   G-TCDE   Airbus A321 211SL 
Altitude: 5100 ft   Distance: 14.96 km 
Speed: 258.7 m… https://t.co/cS2Rn8wb95","Stockport, England",
UKRobert5,Wed Sep 21 00:43:53 +0000 2022,Canda special News they was said average person  he will be traveling for quarter airlines in Africa in Gana. for G… https://t.co/mGJYX06fNu,,
MzDIS,Wed Sep 21 00:42:24 +0000 2022,"RT @sampson_dog: I’m a Service Dog! Yay @united (United Airlines) for a flawless check in with a service dog, unlike some past experiences…",Watchin' the Tide Rollin’ In,
stantradingman,Wed Sep 21 00:39:26 +0000 2022,$UAL United Airlines grounds 25 planes after missed inspections,DCA to MCO 🇺🇸,
JoeyRamp,Wed Sep 21 00:39:01 +0000 2022,The way it should be done! Flawless service dog travel with United Airlines! @united https://t.co/WrRdgU55SS,,
NikkiRich61,Wed Sep 21 00:38:06 +0000 2022,"Nah. I should definitely just stay home. Why do I keep giving these Airlines my money?! 

@united broke TWO of the… https://t.co/TVWJ2jQfIH",Jamaica,
StckPro,Wed Sep 21 00:37:05 +0000 2022,$UAL NEW ARTICLE : United Airlines grounds 25 planes after missed inspections https://t.co/c9re4pEe3l Get all the l… https://t.co/zbGDzDJxtI,,
CaresseJ,Wed Sep 21 00:37:00 +0000 2022,RT @FOX8NOLA: The Federal Aviation Administration said United grounded 25 of the jets after discovering it had failed to inspect slats on t…,"Washington, DC",
cj09172,Wed Sep 21 00:36:13 +0000 2022,RT @FOX8NOLA: The Federal Aviation Administration said United grounded 25 of the jets after discovering it had failed to inspect slats on t…,"Louisiana, USA",
FOX8NOLA,Wed Sep 21 00:35:42 +0000 2022,The Federal Aviation Administration said United grounded 25 of the jets after discovering it had failed to inspect… https://t.co/7jqUdT1br2,New Orleans,
aviationwebnew,Wed Sep 21 00:33:19 +0000 2022,United Airlines grounds 25 planes after missed inspections https://t.co/I7zLi0suJD,,
jjeanninefoster,Wed Sep 21 00:29:00 +0000 2022,"RT @sampson_dog: I’m a Service Dog! Yay @united (United Airlines) for a flawless check in with a service dog, unlike some past experiences…",,
laxradar,Wed Sep 21 00:28:30 +0000 2022,"United Airlines flight #UAL2168 spotted at 19,275 feet! https://t.co/2IhQpcFEe3","Los Angeles, CA",
carreras_ted,Wed Sep 21 00:26:02 +0000 2022,"RT @sampson_dog: I’m a Service Dog! Yay @united (United Airlines) for a flawless check in with a service dog, unlike some past experiences…","San Antonio, TX",
laxradar,Wed Sep 21 00:25:11 +0000 2022,"United Airlines flight #UAL2034 spotted at 34,000 feet! https://t.co/A4VGHs20vM","Los Angeles, CA",
FRISCOPLAYRSF,Wed Sep 21 00:23:47 +0000 2022,RT @massumeh18: United Airlines grounds 25 planes after missed inspections https://t.co/aMaoyRhT6E via @Barchart $UAL,"Silicon Valley, California",
massumeh18,Wed Sep 21 00:23:37 +0000 2022,United Airlines grounds 25 planes after missed inspections https://t.co/aMaoyRhT6E via @Barchart $UAL,The Moon,
TALK1370,Wed Sep 21 00:23:02 +0000 2022,UPDATE: United Airlines grounds 25 planes after missed inspections https://t.co/zWbYIrUZZM,"Austin, Texas",
CoolABRio4,Wed Sep 21 00:22:41 +0000 2022,"First Walmart, now Amazon, what's next? Delta or United Airlines? https://t.co/zDvZDwC0GO",,
CAllderladd,Wed Sep 21 00:19:43 +0000 2022,"RT @sampson_dog: I’m a Service Dog! Yay @united (United Airlines) for a flawless check in with a service dog, unlike some past experiences…","Melbourne, Victoria",
redruby17,Wed Sep 21 00:18:50 +0000 2022,"RT @sampson_dog: I’m a Service Dog! Yay @united (United Airlines) for a flawless check in with a service dog, unlike some past experiences…",Meanjin/Brisbane,
abovestockport,Wed Sep 21 00:17:08 +0000 2022,"TOM41Y   TUI Airlines   G-TUMW   Boeing 737 MAX 8 
Altitude: 3850 ft   Distance: 14.84 km 
Speed: 220.1 mph   Squaw… https://t.co/iK3G9l2c26","Stockport, England",
SA_Incorporated,Wed Sep 21 00:15:51 +0000 2022,United Airlines grounds 25 planes after missed inspections https://t.co/UNmPqvgiQy,"San Antonio, TX",
MatthewCBS7,Wed Sep 21 00:11:03 +0000 2022,FAA: United Airlines grounds 25 planes after missed inspections https://t.co/pXJoTqohnB,"Odessa, TX",
VCPNewz,Wed Sep 21 00:11:02 +0000 2022,"United Airlines grounds 25 planes after missed inspections
https://t.co/TIPv1bfA55",,
udaya_napa,Wed Sep 21 00:08:53 +0000 2022,"@dr_speakup @br_cse_iitb @htTweets @awakenindiamov @VMaya11156 @samyrdalwai Sure, I guess that was put of syllabus… https://t.co/SuU2uC0mFD",,
zeidy1270,Wed Sep 21 00:05:24 +0000 2022,"RT @sampson_dog: I’m a Service Dog! Yay @united (United Airlines) for a flawless check in with a service dog, unlike some past experiences…",Somewhere in California,
kotatweets,Wed Sep 21 00:04:03 +0000 2022,FAA: United Airlines grounds 25 planes after missed inspections https://t.co/XU0la6K3UF,"Rapid City, SD",
stand4ourschool,Wed Sep 21 00:01:14 +0000 2022,United airlines ripped me off!  they were to pay me $1000 for giving up my seat.  They never paid me and fail to re… https://t.co/AoobSBh4TN,"Medford Lakes, NJ",
CBS7News,Wed Sep 21 00:00:08 +0000 2022,FAA: United Airlines grounds 25 planes after missed inspections https://t.co/eCiBr4pZOZ,"Odessa, TX",
stand4ourschool,Wed Sep 21 00:00:08 +0000 2022,United Airlines guaranteed me $1000 voucher for giving up my seat on an overbooked flight out of key west in additi… https://t.co/yLNa992mCV,"Medford Lakes, NJ",
