user,date,text,location,coordinates
ABC,Wed Feb 01 02:06:59 +0000 2023,Two travelers claim United Airlines lost their wheelchairs after taking a flight with the carrier earlier this week. https://t.co/p2gmSMVp6U,New York City / Worldwide,
Reuters,Wed Feb 01 18:30:55 +0000 2023,"Airlines canceled over 1,800 flights in the United States, after an ice storm hit states from Texas to West Virginia https://t.co/lsGA2lk4xO",Around the world,
EveLittlepage,Wed Feb 01 21:01:16 +0000 2023,"RT @ReeveFoundation: On Sunday, March 19th, 2023, #TeamReeve will take on the United Airlines NYC Half! Join the team!
https://t.co/GRILPP2…",United States,
denbizjournal,Wed Feb 01 21:00:34 +0000 2023,The new joint venture will develop a supply of low-carbon jet fuel expected for commercial flight use by 2028.  https://t.co/kVCRuiWjbh,"Denver, Colorado",
iha_drone,Wed Feb 01 21:00:03 +0000 2023,"RT @WatcherGuru: The following companies halted all advertising on Twitter following Elon Musk's takeover: 

• General Motors
• United Airl…",,
UnitedStandBR,Wed Feb 01 20:58:26 +0000 2023,"#munnfo | Weghorst Airlines ✈️

Manchester United 0-0 Nottingham Forest [3-0]
#mufc | #copadaliganaespn |… https://t.co/ubkkGMki2o","Manchester, England",
Destiny25251210,Wed Feb 01 20:57:49 +0000 2023,RT @ABC: Two travelers claim United Airlines lost their wheelchairs after taking a flight with the carrier earlier this week. https://t.co/…,,
StopTyranny_Now,Wed Feb 01 20:57:34 +0000 2023,RT @heleft99: Thank you @SheriffTNehls for fighting for the employees of United Airlines who are standing up for medical autonomy and relig…,,
StopTyranny_Now,Wed Feb 01 20:55:32 +0000 2023,RT @freedom4_cali: I stand with Congressman Troy Nehls who is working to help those of us who were effectively terminated and continue to b…,,
treadmillhorse,Wed Feb 01 20:51:56 +0000 2023,@mainstreetpharm This is why you never fly discount airlines. A United flight attendant would have you in a headloc… https://t.co/5bOnA6Kiv7,,
TweetFun17,Wed Feb 01 20:48:56 +0000 2023,@ALPAPilots @ALPAPresident @TransportGOP Let's see if you will take a stand against lowering pilot standards for hi… https://t.co/aqk0QvsxWA,,
Rebb003,Wed Feb 01 20:42:35 +0000 2023,"In a very strange move, Icelandair rebooked my flight to Sweden…on a United Airlines flight…through Brussels. So I… https://t.co/FGAJ4aaN7R","Louisville, KY",
IndyLife,Wed Feb 01 20:42:32 +0000 2023,Woman tracks missing bag from United flight at abandoned complex and McDonald’s https://t.co/kLxTaamEu1 https://t.co/NsTfpnXe1U,,
laxradar,Wed Feb 01 20:40:40 +0000 2023,"United Airlines flight #UAL490 spotted at 28,850 feet! https://t.co/Q8Xmg97bxE","Los Angeles, CA",
