user,date,text,location,coordinates
RobSchneider,Sat Jun 04 20:57:27 +0000 2022,"Among the big three airlines—Delta, American Airlines, and United Airlines—ticket prices have surged 49.4% on avera… https://t.co/cm4oQwvzi9","Scottsdale, AZ",
RealMikeWilbon,Sat Jun 04 18:52:06 +0000 2022,"Somebody out there in Twitter Universe must know who, up the United Airlines food chain, is worth contacting to com… https://t.co/kJqWRTIqwf",ESPN,
joncoopertweets,Thu Jun 02 16:28:59 +0000 2022,BREAKING: United Airlines will be the first airline to fly baby formula into the United States THANKS to President… https://t.co/IC2em0AjAG,New York,
gaabernethy,Mon Jun 06 02:47:56 +0000 2022,United airlines seems divided. Ground crews oblivious to air craft arrives gates etc pretty sad. I guess sittin on… https://t.co/ppzIpx0FMR,,
laxradar,Mon Jun 06 02:45:55 +0000 2022,"United Airlines flight #UAL832 spotted at 38,000 feet! https://t.co/9XFb7f3z4L","Los Angeles, CA",
datadili,Mon Jun 06 02:43:34 +0000 2022,"United Airlines Holdings, Inc. traded -3% below it's 50 DMA and -2% below it's 200 DMA $UAL",tomorrow,
LeeC95688,Mon Jun 06 02:43:18 +0000 2022,RT @joncoopertweets: BREAKING: United Airlines will be the first airline to fly baby formula into the United States THANKS to President Bid…,,
laxradar,Mon Jun 06 02:40:24 +0000 2022,"United Airlines flight #UAL2641 spotted at 35,000 feet! https://t.co/5lyNKJ8kBe","Los Angeles, CA",
AyeWilliams_,Mon Jun 06 02:40:16 +0000 2022,"I’m in first class and they haven’t brought me my complimentary champagne. Am I a fucking joke to you, United Airli… https://t.co/iHHprjeyIC",Singapore,
laxradar,Mon Jun 06 02:38:52 +0000 2022,"United Airlines flight #UAL2276 spotted at 23,800 feet! https://t.co/JkCgwW1CbT","Los Angeles, CA",
vikingmom7,Mon Jun 06 02:38:07 +0000 2022,"RT @tobeequal: United Airlines has committed that 50% of its next 5,000 hires will “look like” its passengers. Memo to UA: the “friendliest…",,
Hadso1229,Mon Jun 06 02:37:38 +0000 2022,RT @joncoopertweets: BREAKING: United Airlines will be the first airline to fly baby formula into the United States THANKS to President Bid…,,
Efatineee,Mon Jun 06 02:37:06 +0000 2022,"RT @EretzIsrael: 🕊️ Israeli media said that ""Saudi Arabia is about to widely open its airspace to Israeli airlines,"" and they considered th…",Grand Casablanca,
mottmotto,Mon Jun 06 02:34:49 +0000 2022,RT @joncoopertweets: BREAKING: United Airlines will be the first airline to fly baby formula into the United States THANKS to President Bid…,Present and counted!,
snarkywgoodhair,Mon Jun 06 02:34:05 +0000 2022,RT @joncoopertweets: BREAKING: United Airlines will be the first airline to fly baby formula into the United States THANKS to President Bid…,"Denver, CO",
Tim_Berny_Meyer,Mon Jun 06 02:33:52 +0000 2022,"RT @EretzIsrael: 🕊️ Israeli media said that ""Saudi Arabia is about to widely open its airspace to Israeli airlines,"" and they considered th…",,
astriveforbliss,Mon Jun 06 02:31:45 +0000 2022,United and American Airlines wouldnt exist. Anheuser-Busch probably wouldn’t either. https://t.co/u5dizd3ALc,,
JFortin670,Mon Jun 06 02:29:06 +0000 2022,Airfares surge 50% as domestic and international travel rebound.  .  American Airlines Delta Air Lines United Airli… https://t.co/MlLcnV37ib,"Pacific Northwest, USA",
