user,date,text,location,coordinates
nytimes,Fri Jan 21 23:40:06 +0000 2022,The Biden administration is suspending 44 Chinese airline flights to the U.S. The move comes after China canceled A… https://t.co/paGoylKvu2,New York City,
AliAbunimah,Fri Jan 21 20:07:41 +0000 2022,A United Airlines flight was forced to turn back to New York after two Israeli passengers occupied business class s… https://t.co/fxf2pzBJMx,Mostly Chicago,
flightradar24,Tue Jan 18 19:20:15 +0000 2022,"So far today, Air India, ANA, Japan Airlines, and Emirates have cancelled some services to the United States due to… https://t.co/WHXtnYH6jS","Stockholm, Sweden",
LearntTodayThat,Sun Jan 23 22:05:05 +0000 2022,"In 1995 a man got so drunk on a United Airlines flight from Buenos Aires to New York, he climbed on a service troll… https://t.co/IIc8S91Rsk",,
hburgamerican,Sun Jan 23 22:00:11 +0000 2022,Two passengers decided to help themselves to empty business class seats on a half-full United Airlines flight Thurs… https://t.co/kj03ieE9rD,"Hattiesburg, Mississippi",
clarionledger,Sun Jan 23 22:00:10 +0000 2022,Two passengers decided to help themselves to empty business class seats on a half-full United Airlines flight Thurs… https://t.co/vhLU2YMJys,"Jackson, Mississippi",
laxradar,Sun Jan 23 21:51:35 +0000 2022,"United Airlines flight #UAL1115 spotted at 10,575 feet! https://t.co/eSzjI53yGN","Los Angeles, CA",
AvglobeW,Sun Jan 23 21:50:23 +0000 2022,"RT @AeroCrewNews: BREAKING:

Skywest to offer pilots a $40,000 incentive bonus and guaranteed pilot interviews with Alaska Airlines, Delta…",India,
tourntravelnews,Sun Jan 23 21:45:02 +0000 2022,"Check your flight status: Airlines have canceled more than 2,500 Sunday flights https://t.co/k64MiWYFdG #tourism #@… https://t.co/gEe259jSSn","las vegas, nv",
laxradar,Sun Jan 23 21:41:27 +0000 2022,United Airlines flight #UAL2010 spotted at 775 feet! https://t.co/ZFdkjSFtg6,"Los Angeles, CA",
laxradar,Sun Jan 23 21:38:48 +0000 2022,"United Airlines flight #UAL490 spotted at 15,650 feet! https://t.co/Q8Xmg9oezE","Los Angeles, CA",
laxradar,Sun Jan 23 21:38:33 +0000 2022,"United Airlines flight #UAL1503 spotted at 15,075 feet! https://t.co/O39hTyZ7kP","Los Angeles, CA",
laxradar,Sun Jan 23 21:35:39 +0000 2022,"United Airlines flight #UAL1219 spotted at 11,450 feet! https://t.co/mrq2qFUmzS","Los Angeles, CA",
LeoBombayage,Sun Jan 23 21:35:26 +0000 2022,"RT @AusterityAirli1: United Airlines Boeing 737-824 N36272 in ""Star Wars"" livery photographed at Phoenix - Sky Harbor International in Dece…",,
