user,date,text,location,coordinates
airlinevideos,Sat Apr 08 12:52:55 +0000 2023,United Airlines Boeing 787-10 Dreamliner Reg: N12006 Flight UA38 from Tokyo (HND) arrives in Los Angeles (LAX) on A… https://t.co/HRBRbdL3Ld,"LOS ANGELES, CA",
airwaysmagazine,Fri Apr 07 09:18:03 +0000 2023,"Maintaining its title as the largest carrier across the Atlantic and Pacific, United Airlines (UA) has added almost… https://t.co/zZl0wGkLvA",,
UberFacts,Wed Apr 05 22:19:15 +0000 2023,"In 2010, United Airlines told a blind passenger that they would help her off the plane after the other passengers h… https://t.co/bvtM9elbwS",🌎,
laxradar,Sun Apr 09 06:05:49 +0000 2023,United Airlines flight #UAL2424 spotted at 900 feet! https://t.co/5S3DVrptdj,"Los Angeles, CA",
skygoflycom,Sun Apr 09 06:03:24 +0000 2023,Fly with Delta Airlines and enjoy the award-winning customer service! Experience comfortable flights and explore yo… https://t.co/e11amRxERg,"Southlake, TX",
centralspotter,Sun Apr 09 06:01:41 +0000 2023,"👀✈️🔊
N17105 
#Unknown 
#United Airlines 
#United States
#Boeing 757 224/W 
#United Airlines
#A11F5A
Alt 30650ft… https://t.co/lV9hL5AkHn","Scotland, United Kingdom",
ChaitanyaD2020,Sun Apr 09 06:01:31 +0000 2023,"RT @aniltalwar2: The Captain responds, ""Patricia, I’ve told you before....You do not work for United Airlines anymore. This is Air Force On…","Bengaluru, India",
abovestockport,Sun Apr 09 06:01:13 +0000 2023,"UAL20   United Airlines   N74007   Boeing 777 224ER 
Altitude: 39000 ft   Distance: 14.27 km 
Speed: 505.3 mph   Sq… https://t.co/1gDZviXNhE","Stockport, England",
centralspotter,Sun Apr 09 05:59:41 +0000 2023,"👀✈️🔊
N74007 
#UAL20 
#United Airlines 
#United States
#Boeing 777 224ER 
#United Airlines
#A9F502
Alt 39000ft… https://t.co/DC6O6uKsU0","Scotland, United Kingdom",
laxradar,Sun Apr 09 05:57:36 +0000 2023,United Airlines flight #UAL1202 spotted at 250 feet! https://t.co/71GtVkzX5B,"Los Angeles, CA",
laxradar,Sun Apr 09 05:55:05 +0000 2023,United Airlines flight #UAL1597 spotted at 125 feet! https://t.co/yzkaBWnmEw,"Los Angeles, CA",
abovestockport,Sun Apr 09 05:52:05 +0000 2023,"UAL909   United Airlines   N26909   Boeing 787 8 
Altitude: 41000 ft   Distance: 14.19 km 
Speed: 478.2 mph   Squaw… https://t.co/4gwIVxTovz","Stockport, England",
laxradar,Sun Apr 09 05:49:15 +0000 2023,United Airlines flight #UAL1605 spotted at 875 feet! https://t.co/t5tzeSV1MA,"Los Angeles, CA",
centralspotter,Sun Apr 09 05:49:01 +0000 2023,"👀✈️🔊
N26909 
#Unknown 
#United Airlines 
#United States
#Boeing 787 8 
#United Airlines
#A2A2E6
Alt 41000ft… https://t.co/ZMyoQEHCjk","Scotland, United Kingdom",
