user,date,text,location,coordinates
united,Sat Oct 23 16:21:53 +0000 2021,"We're all in the mood for a melody... before we catch our next flight. 🎹✈️🤩

Bravo, Captain Beau!

https://t.co/z9O7QhCG0I",,
ABC7,Sat Oct 23 15:35:00 +0000 2021,LAX launches pilot program for United Airlines travelers to pre-schedule TSA screening https://t.co/nGViRcw6eB,,
DanPriceSeattle,Thu Oct 21 19:21:00 +0000 2021,"American, United and Southwest taxpayer bailout this quarter: $2.9 billion

American, United and Southwest ""profit""… https://t.co/QpbHCQ4lS3","Seattle, WA",
swest1991,Sun Oct 24 19:03:17 +0000 2021,"RT @DjsAviation: United Airlines Boeing 787-10 departing LAX! Fun Fact, this was the first passenger revenue service for the 787-10 with th…","Killeen, TX",
EricRuliffson,Sun Oct 24 19:02:00 +0000 2021,United Airlines makes more cargo revenue with less cargo https://t.co/L9tR7Lwvxx via @freightwaves,planet earth circa 1843,
laxradar,Sun Oct 24 19:00:34 +0000 2021,"United Airlines flight #UAL2205 spotted at 35,000 feet! https://t.co/IZ7SDCrQLU","Los Angeles, CA",
derickson,Sun Oct 24 19:00:14 +0000 2021,"SkyWest cancels more than 100 Saturday flights: American, Delta, United, Alaska airlines impacted
https://t.co/8RL65Ogell from @usatoday",Minneapolis / St Paul,
HobanGirl,Sun Oct 24 18:59:40 +0000 2021,United to open Polaris Lounge at Dulles International Airport | Washington Business Journal | The $41 million loung… https://t.co/hBI09ifP7M,"Alexandria, VA",
laxradar,Sun Oct 24 18:58:14 +0000 2021,"United Airlines flight #UAL2637 spotted at 27,775 feet! https://t.co/INxEwA65Ve","Los Angeles, CA",
laxradar,Sun Oct 24 18:55:55 +0000 2021,"United Airlines flight #UAL1676 spotted at 19,625 feet! https://t.co/1UwghAh6TD","Los Angeles, CA",
SuriyaSubraman,Sun Oct 24 18:55:40 +0000 2021,"Comcast gave me good, precise news. The truth was precisely the opposite | ZDNet: ... United Airlines and Delta are… https://t.co/oOO8jyiy02","London, UK",
laxradar,Sun Oct 24 18:49:56 +0000 2021,"United Airlines flight #UAL515 spotted at 24,100 feet! https://t.co/a0k0sB05On","Los Angeles, CA",
laxradar,Sun Oct 24 18:47:56 +0000 2021,"United Airlines flight #UAL563 spotted at 18,250 feet! https://t.co/EUpOapapTS","Los Angeles, CA",
laxradar,Sun Oct 24 18:47:41 +0000 2021,"United Airlines flight #UAL2669 spotted at 30,675 feet! https://t.co/gNrAYjOYcV","Los Angeles, CA",
Bigsheila47,Sun Oct 24 18:38:54 +0000 2021,When United Airlines cancels a flt from DC to WM due to weather. I’m calling BS. #dontflyunitedairlines https://t.co/S27E8kAHDt,,
laxradar,Sun Oct 24 18:38:31 +0000 2021,"United Airlines flight #UAL554 spotted at 29,975 feet! https://t.co/0vdL6rLLxk","Los Angeles, CA",
laxradar,Sun Oct 24 18:37:14 +0000 2021,"United Airlines flight #UAL1185 spotted at 2,900 feet! https://t.co/GtYylJYa5v","Los Angeles, CA",
F3LIXTWEETS,Sun Oct 24 18:35:51 +0000 2021,Overbooking should be a crime and these airlines that “struggled” so much during the pandemic should be fined out t… https://t.co/CxchVzjPJk,Internet,
EAndre06,Sun Oct 24 18:33:17 +0000 2021,"Top 10 maiores United do mundo
1-Now united
2-Newcastle United
3-Sheffield united
4-United airlines
5-atalanta Unit… https://t.co/1V6NkjMOMi",,
DjsTransport,Sun Oct 24 18:32:30 +0000 2021,"RT @DjsAviation: United Airlines Boeing 787-10 departing LAX! Fun Fact, this was the first passenger revenue service for the 787-10 with th…","London, England",
DjsAviation,Sun Oct 24 18:30:38 +0000 2021,"United Airlines Boeing 787-10 departing LAX! Fun Fact, this was the first passenger revenue service for the 787-10… https://t.co/toajZOzjFo",Melbourne,
laxradar,Sun Oct 24 18:28:03 +0000 2021,"United Airlines flight #UAL2362 spotted at 16,450 feet! https://t.co/VgHNmO6N1P","Los Angeles, CA",
laxradar,Sun Oct 24 18:27:48 +0000 2021,"United Airlines flight #UAL1276 spotted at 1,825 feet! https://t.co/k90Dm6vpCh","Los Angeles, CA",
biginsanehappy,Sun Oct 24 18:27:17 +0000 2021,"United Airlines: We're sorry for the cancellation of your evening flight, but we can put you on another flight that… https://t.co/gD54a2kywy",blanket fort (mobile unit),
pmcall,Sun Oct 24 18:23:47 +0000 2021,"SkyWest cancels more than 100 Saturday flights: American, Delta, United, Alaska airlines impacted https://t.co/UlIQGZz1L1 via @Yahoo",At My Keyboard,
laxradar,Sun Oct 24 18:21:03 +0000 2021,"United Airlines flight #UAL1868 spotted at 16,975 feet! https://t.co/7Fmd4T0K9S","Los Angeles, CA",
laxradar,Sun Oct 24 18:19:55 +0000 2021,"United Airlines flight #UAL1924 spotted at 28,125 feet! https://t.co/RA4xY7kOLH","Los Angeles, CA",
laxradar,Sun Oct 24 18:19:19 +0000 2021,"United Airlines flight #UAL202 spotted at 40,000 feet! https://t.co/uFDv1bBz0r","Los Angeles, CA",
laxradar,Sun Oct 24 18:18:02 +0000 2021,"United Airlines flight #UAL2064 spotted at 2,475 feet! https://t.co/Fgkz3tqFLL","Los Angeles, CA",
laxradar,Sun Oct 24 18:16:40 +0000 2021,"United Airlines flight #UAL2008 spotted at 16,275 feet! https://t.co/WT28TeU8LP","Los Angeles, CA",
laxradar,Sun Oct 24 18:16:25 +0000 2021,"United Airlines flight #UAL253 spotted at 38,000 feet! https://t.co/CfnT1GigBQ","Los Angeles, CA",
elizabehsotner,Sun Oct 24 18:13:17 +0000 2021,"RT @ChewyWishy: SkyWest cancels more than 650 Friday flights: American, Delta, United, Alaska airlines impacted #SmartNews  https://t.co/F3…","Maryland, USA",
Bronco823,Sun Oct 24 18:12:59 +0000 2021,"RT @TomthunkitsMind: UNITED AIRLINES COVID MANDATES
01 https://t.co/4nl91FGApM", ,
TomthunkitsMind,Sun Oct 24 18:10:18 +0000 2021,"UNITED AIRLINES COVID MANDATES
01 https://t.co/4nl91FGApM",In Your Mind Now,
F3LIXTWEETS,Sun Oct 24 18:10:13 +0000 2021,United Airlines about to catch some hands.,Internet,
plastererman1,Sun Oct 24 18:04:49 +0000 2021,We out @ Newark International Airport Terminal C- United Airlines https://t.co/SPQBTMMkh8,N 40°56' 0'' / W 75°26' 0'',"{'type': 'Point', 'coordinates': [-74.17628494, 40.69601754]}"
laxradar,Sun Oct 24 17:58:15 +0000 2021,"United Airlines flight #UAL1224 spotted at 1,175 feet! https://t.co/nix5lSPSbC","Los Angeles, CA",
Sarahe_brown_,Sun Oct 24 17:57:20 +0000 2021,"RT @benwakana46: Incredible nugget in this story.

United Airlines received 20,000 applications for 2,000 flight attendant positions – a ra…","Golden, CO",
laxradar,Sun Oct 24 17:56:45 +0000 2021,"United Airlines flight #UAL1212 spotted at 35,000 feet! https://t.co/quiq1YLgKP","Los Angeles, CA",
laxradar,Sun Oct 24 17:53:53 +0000 2021,"United Airlines flight #UAL2071 spotted at 6,200 feet! https://t.co/kkoxgpIHpl","Los Angeles, CA",
laxradar,Sun Oct 24 17:53:16 +0000 2021,"United Airlines flight #UAL2372 spotted at 34,000 feet! https://t.co/puoudIRu7j","Los Angeles, CA",
laxradar,Sun Oct 24 17:51:01 +0000 2021,"United Airlines flight #UAL1189 spotted at 35,000 feet! https://t.co/QNzrdlZKLk","Los Angeles, CA",
SValentina63,Sun Oct 24 17:49:42 +0000 2021,"RT @DanPriceSeattle: American, United and Southwest taxpayer bailout this quarter: $2.9 billion

American, United and Southwest ""profit"" af…",,
