user,date,text,location,coordinates
BreitbartNews,Sat Mar 25 01:25:16 +0000 2023,A trans-identifying flight attendant who was featured in advertisements for United Airlines committed suicide. https://t.co/cfFJB8uhLO,,
arstechnica,Fri Mar 24 23:32:02 +0000 2023,United Airlines plans to fly an air taxi service between downtown Chicago and O'Hare International Airport using el… https://t.co/mIsaJDbcAV,NYC - Boston - Chicago - SF,
OANN,Sat Mar 25 18:54:51 +0000 2023,United Airlines aims to launch flying taxi service in Chicago by 2025 https://t.co/yEYnYYJQur #OAN,,
RaileneMac,Sun Mar 26 06:08:09 +0000 2023,RT @LeadingReport: BREAKING: 30 United Airlines pilots have filed a lawsuit against the company over their COVID vaccine mandate.,"Johannesburg, South Africa ",
freethinkfacts,Sun Mar 26 06:07:47 +0000 2023,RT @RainbowYouthUSA: Trans flight attendant made famous in United ad dies by suicide - She shared her story for United Airlines on Trans Vi…,,
freethinkfacts,Sun Mar 26 06:07:07 +0000 2023,RT @DeniseMBreen: Transgender flight attendant Kayleigh Scott — who gained fame after appearing in a United Airlines commercial — was found…,,
VibezXtc,Sun Mar 26 06:06:42 +0000 2023,RT @LeadingReport: BREAKING: 30 United Airlines pilots have filed a lawsuit against the company over their COVID vaccine mandate.,,
Showthedogs,Sun Mar 26 06:06:40 +0000 2023,RT @LeadingReport: BREAKING: 30 United Airlines pilots have filed a lawsuit against the company over their COVID vaccine mandate.,,
laxradar,Sun Mar 26 06:04:17 +0000 2023,"United Airlines flight #UAL1202 spotted at 2,725 feet! https://t.co/71GtVkzX5B","Los Angeles, CA",
aman6490,Sun Mar 26 06:04:08 +0000 2023,"RT @drgrudge: 🚨 How to Overcome United Airlines Booking Issue?

There could be two issues:
1⃣ Phantom Space (double-check before moving mil…",India,
laxradar,Sun Mar 26 06:03:54 +0000 2023,"United Airlines flight #UAL1813 spotted at 17,025 feet! https://t.co/XUMVsAkcfm","Los Angeles, CA",
Noodle4T,Sun Mar 26 06:03:29 +0000 2023,RT @LeadingReport: BREAKING: 30 United Airlines pilots have filed a lawsuit against the company over their COVID vaccine mandate.,,
laxradar,Sun Mar 26 06:02:42 +0000 2023,"United Airlines flight #UAL362 spotted at 35,000 feet! https://t.co/IfkUNAuVZ5","Los Angeles, CA",
LisleJoyeux,Sun Mar 26 06:01:48 +0000 2023,RT @LeadingReport: BREAKING: 30 United Airlines pilots have filed a lawsuit against the company over their COVID vaccine mandate.,,
embedded_house,Sun Mar 26 05:59:34 +0000 2023,United Airlines reveals first eVTOL passenger route starting in 2025: The route will connect O'Hare International A… https://t.co/eWAREmyiau,,
BakoDiana,Sun Mar 26 05:57:58 +0000 2023,RT @ABC7: How one woman tracked her AirPods she left on a plane to an airport worker's home https://t.co/D6w8F26yCo,"Bakersfield, CA",
thegoodoldday15,Sun Mar 26 05:56:51 +0000 2023,RT @LeadingReport: BREAKING: 30 United Airlines pilots have filed a lawsuit against the company over their COVID vaccine mandate.,,
trippindaisies,Sun Mar 26 05:55:58 +0000 2023,RT @LeadingReport: BREAKING: 30 United Airlines pilots have filed a lawsuit against the company over their COVID vaccine mandate.,Central Texas,
leoforlife21,Sun Mar 26 05:54:58 +0000 2023,RT @LeadingReport: BREAKING: 30 United Airlines pilots have filed a lawsuit against the company over their COVID vaccine mandate.,United States,
GodsInControl71,Sun Mar 26 05:54:23 +0000 2023,"RT @_aussie17: Holy Moly! United Airlines had to divert, Captain had CHEST PAINS and could not get him out of seat! First officer had to la…","Michigan, USA",
drgrudge,Sun Mar 26 05:53:03 +0000 2023,@SSinha5 You don't have to change your Indian CC details. Just the profile of United Airlines.,Chennai,
k9pirate,Sun Mar 26 05:52:48 +0000 2023,RT @LeadingReport: BREAKING: 30 United Airlines pilots have filed a lawsuit against the company over their COVID vaccine mandate.,,
DStewart541,Sun Mar 26 05:52:32 +0000 2023,RT @Kari_Jane_: Remember her name...  Kayleigh Scott. Say it.. remember her in  your thoughts... another beautiful soul lost to this shitty…,The Deep State,
DSho03,Sun Mar 26 05:52:20 +0000 2023,RT @LeadingReport: BREAKING: 30 United Airlines pilots have filed a lawsuit against the company over their COVID vaccine mandate.,,
DStewart541,Sun Mar 26 05:51:22 +0000 2023,RT @DeniseMBreen: Transgender flight attendant Kayleigh Scott — who gained fame after appearing in a United Airlines commercial — was found…,The Deep State,
cryptochristy22,Sun Mar 26 05:50:46 +0000 2023,RT @LeadingReport: BREAKING: 30 United Airlines pilots have filed a lawsuit against the company over their COVID vaccine mandate.,"Indianapolis, IN",
AriesFitBonnie,Sun Mar 26 05:49:37 +0000 2023,RT @LeadingReport: BREAKING: 30 United Airlines pilots have filed a lawsuit against the company over their COVID vaccine mandate.,Los Angeles,
talkmoresense,Sun Mar 26 05:49:12 +0000 2023,RT @LeadingReport: BREAKING: 30 United Airlines pilots have filed a lawsuit against the company over their COVID vaccine mandate.,UK,
GodsGotThis45,Sun Mar 26 05:48:35 +0000 2023,RT @LeadingReport: BREAKING: 30 United Airlines pilots have filed a lawsuit against the company over their COVID vaccine mandate.,TEXAS,
laxradar,Sun Mar 26 05:48:27 +0000 2023,"United Airlines flight #UAL2620 spotted at 8,200 feet! https://t.co/RwM0hj3ZVZ","Los Angeles, CA",
